Fetching data for NSE:DIXON-EQ from Dec 11, 2025 to Jan 31, 2026...
Fetching 2025-12-11 to 2025-12-31...
  Fetched 1750 candles.
Fetching 2026-01-01 to 2026-01-31...
  Fetched 2500 candles.
Total Fetched Candles: 4250

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
78    | 2025-12-30 10:51:00  | EXIT (Reversal) | 11892.00   | -26.00     | Reversed to LONG
79    | 2025-12-30 10:51:00  | ENTER LONG      | 11892.00   | 0.00       | Reversal Entry (Close 11892 > VWAP 11875.87)
79    | 2025-12-30 10:57:00  | EXIT (Reversal) | 11871.00   | -21.00     | Reversed to SHORT
80    | 2025-12-30 10:57:00  | ENTER SHORT     | 11871.00   | 0.00       | Reversal Entry (Close 11871 < VWAP 11875.93)
80    | 2025-12-30 15:00:00  | EXIT (Square Off) | 11733.00   | 138.00     | Auto Square Off at 15:00:00
81    | 2025-12-31 09:15:00  | ENTER SHORT     | 11876.00   | 0.00       | Fresh Entry (Close 11876 < VWAP 11882.00)
81    | 2025-12-31 09:18:00  | EXIT (Reversal) | 11880.00   | -4.00      | Reversed to LONG
82    | 2025-12-31 09:18:00  | ENTER LONG      | 11880.00   | 0.00       | Reversal Entry (Close 11880 > VWAP 11877.84)
82    | 2025-12-31 09:33:00  | EXIT (Reversal) | 11910.00   | 30.00      | Reversed to SHORT
83    | 2025-12-31 09:33:00  | ENTER SHORT     | 11910.00   | 0.00       | Reversal Entry (Close 11910 < VWAP 11924.18)
83    | 2025-12-31 10:30:00  | EXIT (SL)       | 11885.00   | 25.00      | SL Hit (Close 11885 >= SL 11869.70)
84    | 2025-12-31 10:30:00  | ENTER LONG      | 11885.00   | 0.00       | SL Reversal Entry
84    | 2025-12-31 10:33:00  | EXIT (Reversal) | 11864.00   | -21.00     | Reversed to SHORT
85    | 2025-12-31 10:33:00  | ENTER SHORT     | 11864.00   | 0.00       | Reversal Entry (Close 11864 < VWAP 11870.03)
85    | 2025-12-31 11:00:00  | EXIT (SL)       | 11881.00   | -17.00     | SL Hit (Close 11881 >= SL 11868.82)
86    | 2025-12-31 11:00:00  | ENTER LONG      | 11881.00   | 0.00       | SL Reversal Entry
86    | 2025-12-31 11:06:00  | EXIT (Reversal) | 11868.00   | -13.00     | Reversed to SHORT
87    | 2025-12-31 11:06:00  | ENTER SHORT     | 11868.00   | 0.00       | Reversal Entry (Close 11868 < VWAP 11869.07)
87    | 2025-12-31 11:12:00  | EXIT (Reversal) | 11875.00   | -7.00      | Reversed to LONG
88    | 2025-12-31 11:12:00  | ENTER LONG      | 11875.00   | 0.00       | Reversal Entry (Close 11875 > VWAP 11869.09)
88    | 2025-12-31 12:00:00  | EXIT (SL)       | 11865.00   | -10.00     | SL Hit (Close 11865 <= SL 11874.67)
89    | 2025-12-31 12:00:00  | ENTER SHORT     | 11865.00   | 0.00       | SL Reversal Entry
89    | 2025-12-31 12:09:00  | EXIT (Reversal) | 11884.00   | -19.00     | Reversed to LONG
90    | 2025-12-31 12:09:00  | ENTER LONG      | 11884.00   | 0.00       | Reversal Entry (Close 11884 > VWAP 11874.55)
90    | 2025-12-31 15:00:00  | EXIT (Square Off) | 12104.00   | 220.00     | Auto Square Off at 15:00:00
91    | 2026-01-01 09:15:00  | ENTER LONG      | 12150.00   | 0.00       | Fresh Entry (Close 12150 > VWAP 12144.67)
91    | 2026-01-01 09:21:00  | EXIT (Reversal) | 12120.00   | -30.00     | Reversed to SHORT
92    | 2026-01-01 09:21:00  | ENTER SHORT     | 12120.00   | 0.00       | Reversal Entry (Close 12120 < VWAP 12146.29)
92    | 2026-01-01 14:51:00  | EXIT (SL)       | 11945.00   | 175.00     | SL Hit (Close 11945 >= SL 11934.57)
93    | 2026-01-01 14:51:00  | ENTER LONG      | 11945.00   | 0.00       | SL Reversal Entry
93    | 2026-01-01 15:00:00  | EXIT (Square Off) | 11986.00   | 41.00      | Auto Square Off at 15:00:00
94    | 2026-01-02 09:15:00  | ENTER LONG      | 12225.00   | 0.00       | Fresh Entry (Close 12225 > VWAP 12217.67)
94    | 2026-01-02 09:21:00  | EXIT (Reversal) | 12208.00   | -17.00     | Reversed to SHORT
95    | 2026-01-02 09:21:00  | ENTER SHORT     | 12208.00   | 0.00       | Reversal Entry (Close 12208 < VWAP 12221.91)
95    | 2026-01-02 09:27:00  | EXIT (SL)       | 12264.00   | -56.00     | SL Hit (Close 12264 >= SL 12228.00)
96    | 2026-01-02 09:27:00  | ENTER LONG      | 12264.00   | 0.00       | SL Reversal Entry
96    | 2026-01-02 09:33:00  | EXIT (Reversal) | 12218.00   | -46.00     | Reversed to SHORT
97    | 2026-01-02 09:33:00  | ENTER SHORT     | 12218.00   | 0.00       | Reversal Entry (Close 12218 < VWAP 12232.37)
97    | 2026-01-02 10:12:00  | EXIT (SL)       | 12231.00   | -13.00     | SL Hit (Close 12231 >= SL 12213.91)
98    | 2026-01-02 10:12:00  | ENTER LONG      | 12231.00   | 0.00       | SL Reversal Entry
98    | 2026-01-02 10:15:00  | EXIT (Reversal) | 12211.00   | -20.00     | Reversed to SHORT
99    | 2026-01-02 10:15:00  | ENTER SHORT     | 12211.00   | 0.00       | Reversal Entry (Close 12211 < VWAP 12214.21)
99    | 2026-01-02 10:24:00  | EXIT (Reversal) | 12226.00   | -15.00     | Reversed to LONG
100   | 2026-01-02 10:24:00  | ENTER LONG      | 12226.00   | 0.00       | Reversal Entry (Close 12226 > VWAP 12214.11)
100   | 2026-01-02 10:51:00  | EXIT (SL)       | 12184.00   | -42.00     | SL Hit (Close 12184 <= SL 12218.13)
101   | 2026-01-02 10:51:00  | ENTER SHORT     | 12184.00   | 0.00       | SL Reversal Entry
101   | 2026-01-02 12:24:00  | EXIT (SL)       | 12195.00   | -11.00     | SL Hit (Close 12195 >= SL 12191.43)
102   | 2026-01-02 12:24:00  | ENTER LONG      | 12195.00   | 0.00       | SL Reversal Entry
102   | 2026-01-02 12:27:00  | EXIT (Reversal) | 12170.00   | -25.00     | Reversed to SHORT
103   | 2026-01-02 12:27:00  | ENTER SHORT     | 12170.00   | 0.00       | Reversal Entry (Close 12170 < VWAP 12190.84)
103   | 2026-01-02 12:33:00  | EXIT (Reversal) | 12196.00   | -26.00     | Reversed to LONG
104   | 2026-01-02 12:33:00  | ENTER LONG      | 12196.00   | 0.00       | Reversal Entry (Close 12196 > VWAP 12190.88)
104   | 2026-01-02 12:36:00  | EXIT (SL)       | 12172.00   | -24.00     | SL Hit (Close 12172 <= SL 12179.00)
105   | 2026-01-02 12:36:00  | ENTER SHORT     | 12172.00   | 0.00       | SL Reversal Entry
105   | 2026-01-02 14:06:00  | EXIT (SL)       | 12138.00   | 34.00      | SL Hit (Close 12138 >= SL 12130.33)
106   | 2026-01-02 14:06:00  | ENTER LONG      | 12138.00   | 0.00       | SL Reversal Entry
106   | 2026-01-02 14:09:00  | EXIT (Reversal) | 12122.00   | -16.00     | Reversed to SHORT
107   | 2026-01-02 14:09:00  | ENTER SHORT     | 12122.00   | 0.00       | Reversal Entry (Close 12122 < VWAP 12130.34)
107   | 2026-01-02 14:12:00  | EXIT (Reversal) | 12145.00   | -23.00     | Reversed to LONG
108   | 2026-01-02 14:12:00  | ENTER LONG      | 12145.00   | 0.00       | Reversal Entry (Close 12145 > VWAP 12130.47)
108   | 2026-01-02 14:15:00  | EXIT (Reversal) | 12129.00   | -16.00     | Reversed to SHORT
109   | 2026-01-02 14:15:00  | ENTER SHORT     | 12129.00   | 0.00       | Reversal Entry (Close 12129 < VWAP 12130.50)
109   | 2026-01-02 14:21:00  | EXIT (Reversal) | 12132.00   | -3.00      | Reversed to LONG
110   | 2026-01-02 14:21:00  | ENTER LONG      | 12132.00   | 0.00       | Reversal Entry (Close 12132 > VWAP 12130.50)
110   | 2026-01-02 15:00:00  | EXIT (Square Off) | 12215.00   | 83.00      | Auto Square Off at 15:00:00
111   | 2026-01-05 09:15:00  | ENTER SHORT     | 12203.00   | 0.00       | Fresh Entry (Close 12203 < VWAP 12216.33)
111   | 2026-01-05 09:18:00  | EXIT (Reversal) | 12245.00   | -42.00     | Reversed to LONG
112   | 2026-01-05 09:18:00  | ENTER LONG      | 12245.00   | 0.00       | Reversal Entry (Close 12245 > VWAP 12221.91)
112   | 2026-01-05 09:27:00  | EXIT (Reversal) | 12213.00   | -32.00     | Reversed to SHORT
113   | 2026-01-05 09:27:00  | ENTER SHORT     | 12213.00   | 0.00       | Reversal Entry (Close 12213 < VWAP 12232.30)
113   | 2026-01-05 10:12:00  | EXIT (SL)       | 12209.00   | 4.00       | SL Hit (Close 12209 >= SL 12193.91)
114   | 2026-01-05 10:12:00  | ENTER LONG      | 12209.00   | 0.00       | SL Reversal Entry
114   | 2026-01-05 10:15:00  | EXIT (Reversal) | 12184.00   | -25.00     | Reversed to SHORT
115   | 2026-01-05 10:15:00  | ENTER SHORT     | 12184.00   | 0.00       | Reversal Entry (Close 12184 < VWAP 12193.97)
115   | 2026-01-05 10:21:00  | EXIT (Reversal) | 12195.00   | -11.00     | Reversed to LONG
116   | 2026-01-05 10:21:00  | ENTER LONG      | 12195.00   | 0.00       | Reversal Entry (Close 12195 > VWAP 12193.64)
116   | 2026-01-05 10:36:00  | EXIT (Reversal) | 12176.00   | -19.00     | Reversed to SHORT
117   | 2026-01-05 10:36:00  | ENTER SHORT     | 12176.00   | 0.00       | Reversal Entry (Close 12176 < VWAP 12195.91)
117   | 2026-01-05 10:45:00  | EXIT (Reversal) | 12211.00   | -35.00     | Reversed to LONG
118   | 2026-01-05 10:45:00  | ENTER LONG      | 12211.00   | 0.00       | Reversal Entry (Close 12211 > VWAP 12195.21)
118   | 2026-01-05 10:57:00  | EXIT (Reversal) | 12185.00   | -26.00     | Reversed to SHORT
