Fetching data for NSE:DIXON-EQ from 2026-01-01 to 2026-01-31...
Fetched 2500 candles.

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
27    | 2026-01-05 10:45:00  | EXIT (Reversal) | 12211.00   | -35.00     | Reversed to LONG
28    | 2026-01-05 10:45:00  | ENTER LONG      | 12211.00   | 0.00       | Reversal Entry (Close 12211 > VWAP 12195.21)
28    | 2026-01-05 10:57:00  | EXIT (Reversal) | 12185.00   | -26.00     | Reversed to SHORT
29    | 2026-01-05 10:57:00  | ENTER SHORT     | 12185.00   | 0.00       | Reversal Entry (Close 12185 < VWAP 12197.61)
29    | 2026-01-05 12:21:00  | EXIT (SL)       | 12194.00   | -9.00      | SL Hit (Close 12194 >= SL 12190.38)
30    | 2026-01-05 12:21:00  | ENTER LONG      | 12194.00   | 0.00       | SL Reversal Entry
30    | 2026-01-05 12:39:00  | EXIT (SL)       | 12186.00   | -8.00      | SL Hit (Close 12186 <= SL 12191.89)
31    | 2026-01-05 12:39:00  | ENTER SHORT     | 12186.00   | 0.00       | SL Reversal Entry
31    | 2026-01-05 12:42:00  | EXIT (Reversal) | 12195.00   | -9.00      | Reversed to LONG
32    | 2026-01-05 12:42:00  | ENTER LONG      | 12195.00   | 0.00       | Reversal Entry (Close 12195 > VWAP 12191.88)
32    | 2026-01-05 13:09:00  | EXIT (SL)       | 12192.00   | -3.00      | SL Hit (Close 12192 <= SL 12192.96)
33    | 2026-01-05 13:09:00  | ENTER SHORT     | 12192.00   | 0.00       | SL Reversal Entry
33    | 2026-01-05 15:00:00  | EXIT (Square Off) | 12053.00   | 139.00     | Auto Square Off at 15:00:00
34    | 2026-01-06 09:15:00  | ENTER LONG      | 12010.00   | 0.00       | Fresh Entry (Close 12010 > VWAP 12007.00)
34    | 2026-01-06 09:21:00  | EXIT (Reversal) | 11987.00   | -23.00     | Reversed to SHORT
35    | 2026-01-06 09:21:00  | ENTER SHORT     | 11987.00   | 0.00       | Reversal Entry (Close 11987 < VWAP 12007.14)
35    | 2026-01-06 09:33:00  | EXIT (Reversal) | 12012.00   | -25.00     | Reversed to LONG
36    | 2026-01-06 09:33:00  | ENTER LONG      | 12012.00   | 0.00       | Reversal Entry (Close 12012 > VWAP 12000.76)
36    | 2026-01-06 09:36:00  | EXIT (Reversal) | 11985.00   | -27.00     | Reversed to SHORT
37    | 2026-01-06 09:36:00  | ENTER SHORT     | 11985.00   | 0.00       | Reversal Entry (Close 11985 < VWAP 12000.28)
37    | 2026-01-06 09:51:00  | EXIT (Reversal) | 12000.00   | -15.00     | Reversed to LONG
38    | 2026-01-06 09:51:00  | ENTER LONG      | 12000.00   | 0.00       | Reversal Entry (Close 12000 > VWAP 11996.10)
38    | 2026-01-06 10:09:00  | EXIT (SL)       | 11982.00   | -18.00     | SL Hit (Close 11982 <= SL 12002.54)
39    | 2026-01-06 10:09:00  | ENTER SHORT     | 11982.00   | 0.00       | SL Reversal Entry
39    | 2026-01-06 15:00:00  | EXIT (Square Off) | 11768.00   | 214.00     | Auto Square Off at 15:00:00
40    | 2026-01-07 09:15:00  | ENTER LONG      | 11585.00   | 0.00       | Fresh Entry (Close 11585 > VWAP 11573.67)
40    | 2026-01-07 09:21:00  | EXIT (Reversal) | 11547.00   | -38.00     | Reversed to SHORT
41    | 2026-01-07 09:21:00  | ENTER SHORT     | 11547.00   | 0.00       | Reversal Entry (Close 11547 < VWAP 11570.70)
41    | 2026-01-07 09:27:00  | EXIT (Reversal) | 11595.00   | -48.00     | Reversed to LONG
42    | 2026-01-07 09:27:00  | ENTER LONG      | 11595.00   | 0.00       | Reversal Entry (Close 11595 > VWAP 11567.57)
42    | 2026-01-07 12:00:00  | EXIT (SL)       | 11753.00   | 158.00     | SL Hit (Close 11753 <= SL 11768.28)
43    | 2026-01-07 12:00:00  | ENTER SHORT     | 11753.00   | 0.00       | SL Reversal Entry
43    | 2026-01-07 14:48:00  | EXIT (SL)       | 11760.00   | -7.00      | SL Hit (Close 11760 >= SL 11757.73)
44    | 2026-01-07 14:48:00  | ENTER LONG      | 11760.00   | 0.00       | SL Reversal Entry
44    | 2026-01-07 15:00:00  | EXIT (Square Off) | 11765.00   | 5.00       | Auto Square Off at 15:00:00
45    | 2026-01-08 09:15:00  | ENTER LONG      | 11789.00   | 0.00       | Fresh Entry (Close 11789 > VWAP 11764.00)
45    | 2026-01-08 09:24:00  | EXIT (Reversal) | 11804.00   | 15.00      | Reversed to SHORT
46    | 2026-01-08 09:24:00  | ENTER SHORT     | 11804.00   | 0.00       | Reversal Entry (Close 11804 < VWAP 11815.90)
46    | 2026-01-08 09:51:00  | EXIT (SL)       | 11819.00   | -15.00     | SL Hit (Close 11819 >= SL 11795.95)
47    | 2026-01-08 09:51:00  | ENTER LONG      | 11819.00   | 0.00       | SL Reversal Entry
47    | 2026-01-08 10:09:00  | EXIT (SL)       | 11785.00   | -34.00     | SL Hit (Close 11785 <= SL 11804.52)
48    | 2026-01-08 10:09:00  | ENTER SHORT     | 11785.00   | 0.00       | SL Reversal Entry
48    | 2026-01-08 10:15:00  | EXIT (Reversal) | 11806.00   | -21.00     | Reversed to LONG
49    | 2026-01-08 10:15:00  | ENTER LONG      | 11806.00   | 0.00       | Reversal Entry (Close 11806 > VWAP 11804.07)
49    | 2026-01-08 10:18:00  | EXIT (SL)       | 11791.00   | -15.00     | SL Hit (Close 11791 <= SL 11797.00)
50    | 2026-01-08 10:18:00  | ENTER SHORT     | 11791.00   | 0.00       | SL Reversal Entry
50    | 2026-01-08 10:24:00  | EXIT (Reversal) | 11804.00   | -13.00     | Reversed to LONG
51    | 2026-01-08 10:24:00  | ENTER LONG      | 11804.00   | 0.00       | Reversal Entry (Close 11804 > VWAP 11803.72)
51    | 2026-01-08 10:39:00  | EXIT (Reversal) | 11800.00   | -4.00      | Reversed to SHORT
52    | 2026-01-08 10:39:00  | ENTER SHORT     | 11800.00   | 0.00       | Reversal Entry (Close 11800 < VWAP 11804.44)
52    | 2026-01-08 10:48:00  | EXIT (Reversal) | 11807.00   | -7.00      | Reversed to LONG
53    | 2026-01-08 10:48:00  | ENTER LONG      | 11807.00   | 0.00       | Reversal Entry (Close 11807 > VWAP 11797.95)
53    | 2026-01-08 11:00:00  | EXIT (Reversal) | 11799.00   | -8.00      | Reversed to SHORT
54    | 2026-01-08 11:00:00  | ENTER SHORT     | 11799.00   | 0.00       | Reversal Entry (Close 11799 < VWAP 11801.33)
54    | 2026-01-08 11:03:00  | EXIT (Reversal) | 11805.00   | -6.00      | Reversed to LONG
55    | 2026-01-08 11:03:00  | ENTER LONG      | 11805.00   | 0.00       | Reversal Entry (Close 11805 > VWAP 11801.35)
55    | 2026-01-08 11:48:00  | EXIT (SL)       | 11803.00   | -2.00      | SL Hit (Close 11803 <= SL 11805.05)
56    | 2026-01-08 11:48:00  | ENTER SHORT     | 11803.00   | 0.00       | SL Reversal Entry
