Fetching data for NSE:DIXON-EQ from Mar 2025 to Dec 2025...
Total Fetched Candles: 25646

Running Backtest with Risk:Reward 1:8...

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
9     | 2025-03-05 14:39:00  | ENTER SHORT     | 14478.05   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 16.55)
9     | 2025-03-05 14:45:00  | EXIT (SL)       | 14494.60   | -16.55     | SL Hit (High 14505 >= SL 14494.60)
10    | 2025-03-06 09:18:00  | ENTER SHORT     | 14629.65   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 43.75)
10    | 2025-03-06 12:15:00  | EXIT (Target)   | 14279.65   | 350.00     | Target Hit (Low 14266 <= Tgt 14279.65)
11    | 2025-03-07 09:15:00  | ENTER LONG      | 14251.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 173.90)
11    | 2025-03-07 12:06:00  | EXIT (SL)       | 14077.10   | -173.90    | SL Hit (Low 14051 <= SL 14077.10)
12    | 2025-03-10 09:24:00  | ENTER LONG      | 13943.35   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 90.30)
12    | 2025-03-10 09:30:00  | EXIT (SL)       | 13853.05   | -90.30     | SL Hit (Low 13837.7 <= SL 13853.05)
13    | 2025-03-11 09:15:00  | ENTER LONG      | 12917.05   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 140.05)
13    | 2025-03-11 09:18:00  | EXIT (SL)       | 12777.00   | -140.05    | SL Hit (Low 12760.05 <= SL 12777.00)
14    | 2025-03-11 09:21:00  | ENTER LONG      | 12869.90   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 100.25)
14    | 2025-03-11 09:45:00  | EXIT (SL)       | 12769.65   | -100.25    | SL Hit (Low 12750.1 <= SL 12769.65)
15    | 2025-03-11 09:51:00  | ENTER LONG      | 12878.70   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 73.70)
15    | 2025-03-11 15:00:00  | EXIT (Square Off) | 13333.50   | 454.80     | Auto Square Off at 15:00
16    | 2025-03-12 09:15:00  | ENTER SHORT     | 13277.35   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 107.85)
16    | 2025-03-12 15:00:00  | EXIT (Square Off) | 13072.25   | 205.10     | Auto Square Off at 15:00
17    | 2025-03-13 09:18:00  | ENTER SHORT     | 13087.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 69.30)
17    | 2025-03-13 09:36:00  | EXIT (SL)       | 13156.30   | -69.30     | SL Hit (High 13170 >= SL 13156.30)
18    | 2025-03-13 14:24:00  | ENTER SHORT     | 13342.95   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 70.30)
18    | 2025-03-13 14:39:00  | EXIT (SL)       | 13413.25   | -70.30     | SL Hit (High 13414.8 >= SL 13413.25)
19    | 2025-03-13 14:51:00  | ENTER SHORT     | 13330.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 48.30)
19    | 2025-03-13 15:00:00  | EXIT (Square Off) | 13328.70   | 1.30       | Auto Square Off at 15:00
20    | 2025-03-17 09:15:00  | ENTER LONG      | 13310.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 165.15)
20    | 2025-03-17 13:09:00  | EXIT (SL)       | 13144.85   | -165.15    | SL Hit (Low 13100 <= SL 13144.85)
21    | 2025-03-18 09:21:00  | ENTER LONG      | 13185.05   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 87.40)
21    | 2025-03-18 15:00:00  | EXIT (Square Off) | 13471.70   | 286.65     | Auto Square Off at 15:00
22    | 2025-03-19 09:21:00  | ENTER SHORT     | 13484.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 73.90)
22    | 2025-03-19 09:42:00  | EXIT (SL)       | 13557.90   | -73.90     | SL Hit (High 13563.95 >= SL 13557.90)
23    | 2025-03-20 09:33:00  | ENTER SHORT     | 13985.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 48.65)
23    | 2025-03-20 15:00:00  | EXIT (Square Off) | 13898.30   | 86.70      | Auto Square Off at 15:00
24    | 2025-03-21 09:15:00  | ENTER LONG      | 13982.90   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 140.80)
