Fetching data for NSE:DIXON-EQ from Oct 1, 2025 to Nov 30, 2025...
Fetching 2025-10-01 to 2025-10-31...
  Fetched 2521 candles.
Fetching 2025-11-01 to 2025-11-30...
  Fetched 2375 candles.
Total Fetched Candles: 4896

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
137   | 2025-10-29 09:51:00  | ENTER LONG      | 15397.00   | 0.00       | SL Reversal Entry
137   | 2025-10-29 09:54:00  | EXIT (Reversal) | 15381.00   | -16.00     | Reversed to SHORT
138   | 2025-10-29 09:54:00  | ENTER SHORT     | 15381.00   | 0.00       | Reversal Entry (Close 15381 < VWAP 15389.97)
138   | 2025-10-29 10:21:00  | EXIT (SL)       | 15408.00   | -27.00     | SL Hit (Close 15408 >= SL 15388.13)
139   | 2025-10-29 10:21:00  | ENTER LONG      | 15408.00   | 0.00       | SL Reversal Entry
139   | 2025-10-29 15:00:00  | EXIT (Square Off) | 15473.00   | 65.00      | Auto Square Off at 15:00:00
140   | 2025-10-30 09:15:00  | ENTER SHORT     | 15507.00   | 0.00       | Fresh Entry (Close 15507 < VWAP 15534.33)
140   | 2025-10-30 09:21:00  | EXIT (Reversal) | 15566.00   | -59.00     | Reversed to LONG
141   | 2025-10-30 09:21:00  | ENTER LONG      | 15566.00   | 0.00       | Reversal Entry (Close 15566 > VWAP 15536.09)
141   | 2025-10-30 09:30:00  | EXIT (SL)       | 15526.00   | -40.00     | SL Hit (Close 15526 <= SL 15529.00)
142   | 2025-10-30 09:30:00  | ENTER SHORT     | 15526.00   | 0.00       | SL Reversal Entry
142   | 2025-10-30 09:36:00  | EXIT (Reversal) | 15555.00   | -29.00     | Reversed to LONG
143   | 2025-10-30 09:36:00  | ENTER LONG      | 15555.00   | 0.00       | Reversal Entry (Close 15555 > VWAP 15538.70)
143   | 2025-10-30 09:39:00  | EXIT (SL)       | 15537.00   | -18.00     | SL Hit (Close 15537 <= SL 15538.00)
144   | 2025-10-30 09:39:00  | ENTER SHORT     | 15537.00   | 0.00       | SL Reversal Entry
144   | 2025-10-30 10:12:00  | EXIT (SL)       | 15526.00   | 11.00      | SL Hit (Close 15526 >= SL 15524.83)
145   | 2025-10-30 10:12:00  | ENTER LONG      | 15526.00   | 0.00       | SL Reversal Entry
145   | 2025-10-30 10:15:00  | EXIT (Reversal) | 15523.00   | -3.00      | Reversed to SHORT
146   | 2025-10-30 10:15:00  | ENTER SHORT     | 15523.00   | 0.00       | Reversal Entry (Close 15523 < VWAP 15524.52)
